time,state,V,label
1731704766,Flood,9264,NoFlood
1731705127,NoFlood,9280,NoFlood
1731705487,Flood,9264,NoFlood
1731705846,Flood,9264,NoFlood
1731706207,NoFlood,9280,NoFlood
1731706566,NoFlood,9280,NoFlood
1731706927,NoFlood,9280,NoFlood
1731707286,NoFlood,9280,NoFlood
1731707646,NoFlood,9280,NoFlood
1731708007,NoFlood,9280,NoFlood
1731708366,NoFlood,9280,NoFlood
1731708727,Flood,9264,NoFlood
1731709086,Flood,9264,NoFlood
1731709447,Flood,9264,NoFlood
1731709804,TooDark,9120,
1731710164,TooDark,9120,
1731710524,TooDark,9120,
1731710884,TooDark,9120,
1731711244,TooDark,9120,
1731711604,TooDark,9120,
1731711964,TooDark,9120,
1731712324,TooDark,9120,
1731712684,TooDark,9120,
1731713044,TooDark,9120,
1731713404,TooDark,9120,
1731713764,TooDark,9120,
1731714124,TooDark,9120,
1731714484,TooDark,9120,
1731714844,TooDark,9120,
1731715204,TooDark,9152,
1731715564,TooDark,9184,
1731715924,TooDark,9184,
1731716284,TooDark,9184,
1731716644,TooDark,9184,
1731717003,TooDark,9184,
1731717364,TooDark,9184,
1731717724,TooDark,9184,
1731718084,TooDark,9184,
1731718444,TooDark,9184,
1731718804,TooDark,9184,
1731719163,TooDark,9184,
1731719524,TooDark,9184,
1731719884,TooDark,9184,
1731720244,TooDark,9184,
1731720604,TooDark,9184,
1731720964,TooDark,9184,
1731721324,TooDark,9184,
1731721684,TooDark,9184,
1731722044,TooDark,9184,
1731722404,TooDark,9184,
1731722764,TooDark,9184,
1731723124,TooDark,9184,
1731723484,TooDark,9184,
1731723844,TooDark,9184,
1731724204,TooDark,9184,
1731724564,TooDark,9184,
1731724924,TooDark,9184,
1731725284,TooDark,9184,
1731725643,TooDark,9184,
1731726004,TooDark,9184,
1731726364,TooDark,9184,
1731726724,TooDark,9184,
1731727083,TooDark,9184,
1731727444,TooDark,9184,
1731727804,TooDark,9184,
1731728164,TooDark,9184,
1731728524,TooDark,9184,
1731728884,TooDark,9184,
1731729244,TooDark,9184,
1731729604,TooDark,9184,
1731729964,TooDark,9184,
1731730323,TooDark,9184,
1731730684,TooDark,9184,
1731731044,TooDark,9184,
1731731404,TooDark,9184,
1731731764,TooDark,9184,
1731732124,TooDark,9184,
1731732484,TooDark,9184,
1731732844,TooDark,9184,
1731733204,TooDark,9184,
1731733564,TooDark,9184,
1731733924,TooDark,9184,
1731734284,TooDark,9184,
1731734644,TooDark,9184,
1731735004,TooDark,9184,
1731735364,TooDark,9184,
1731735724,TooDark,9184,
1731736084,TooDark,9184,
1731736444,TooDark,9184,
1731736804,TooDark,9184,
1731737164,TooDark,9184,
1731737524,TooDark,9184,
1731737884,TooDark,9184,
1731738244,TooDark,9184,
1731738604,TooDark,9184,
1731738964,TooDark,9184,
1731739324,TooDark,9184,
1731739684,TooDark,9184,
1731740044,TooDark,9184,
1731740404,TooDark,9184,
1731740764,TooDark,9184,
1731741124,TooDark,9184,
1731741484,TooDark,9184,
1731741844,TooDark,9184,
1731742204,TooDark,9184,
1731742563,TooDark,9184,
1731742924,TooDark,9184,
1731743284,TooDark,9184,
1731743644,TooDark,9184,
1731744004,TooDark,9184,
1731744364,TooDark,9184,
1731744724,TooDark,9184,
1731745084,TooDark,9184,
1731745444,TooDark,9184,
1731745804,TooDark,9184,
1731746164,TooDark,9184,
1731746524,TooDark,9184,
1731746884,TooDark,9184,
1731747244,TooDark,9184,
1731747604,TooDark,9184,
1731747964,TooDark,9184,
1731748324,TooDark,9184,
1731748684,TooDark,9184,
1731749044,TooDark,9184,
1731749404,TooDark,9184,
1731749764,TooDark,9184,
1731750124,TooDark,9184,
1731750484,TooDark,9184,
1731750844,TooDark,9184,
1731751204,TooDark,9184,
1731751564,TooDark,9184,
1731751924,TooDark,9184,
1731752284,TooDark,9184,
1731752644,TooDark,9184,
1731753004,TooDark,9184,
1731753364,TooDark,9184,
1731753724,TooDark,9184,
1731754084,TooDark,9184,
1731754444,TooDark,9184,
1731754804,TooDark,9184,
1731755164,TooDark,9184,
1731755524,TooDark,9184,
1731755884,TooDark,9184,
1731756246,Flood,9328,
1731756607,NoFlood,9344,NoFlood
1731756966,NoFlood,9344,NoFlood
1731757327,NoFlood,9344,NoFlood
1731757687,NoFlood,9344,NoFlood
1731758046,Flood,9328,NoFlood
1731758407,Flood,9328,Flood
1731758766,Flood,9328,Flood
